BIOL 499A,2019-07-16 02:51:08.720949+00,3
BIOL 499B,2019-07-16 02:51:08.720949+00,3
BIOL 602,2019-07-16 02:51:08.720949+00,3
BIOL 604,2019-07-16 02:51:08.720949+00,3
BIOL 605,2019-07-16 02:51:08.720949+00,3
BIOL 606,2019-07-16 02:51:08.720949+00,3
BIOL 608,2019-07-16 02:51:08.720949+00,3
BIOL 610,2019-07-16 02:51:08.720949+00,3
BIOL 611,2019-07-16 02:51:08.720949+00,3
BIOL 612,2019-07-16 02:51:08.720949+00,3
BIOL 614,2019-07-16 02:51:08.720949+00,3
BIOL 617,2019-07-16 02:51:08.720949+00,3
BIOL 618,2019-07-16 02:51:08.720949+00,3
BIOL 621,2019-07-16 02:51:08.720949+00,3
BIOL 622,2019-07-16 02:51:08.720949+00,3
BIOL 623,2019-07-16 02:51:08.720949+00,3
BIOL 624,2019-07-16 02:51:08.720949+00,3
BIOL 625,2019-07-16 02:51:08.720949+00,3
BIOL 627,2019-07-16 02:51:08.720949+00,3
BIOL 628,2019-07-16 02:51:08.720949+00,3
BIOL 629,2019-07-16 02:51:08.720949+00,3
BIOL 631,2019-07-16 02:51:08.720949+00,3
BIOL 636,2019-07-16 02:51:08.720949+00,3
BIOL 642,2019-07-16 02:51:08.720949+00,3
BIOL 645,2019-07-16 02:51:08.720949+00,3
BIOL 646,2019-07-16 02:51:08.720949+00,3
BIOL 650,2019-07-16 02:51:08.720949+00,3
BIOL 651,2019-07-16 02:51:08.720949+00,3
BIOL 652,2019-07-16 02:51:08.720949+00,3
BIOL 667,2019-07-16 02:51:08.720949+00,3
BIOL 669,2019-07-16 02:51:08.720949+00,3
BIOL 670,2019-07-16 02:51:08.720949+00,3
BIOL 675,2019-07-16 02:51:08.720949+00,3
BIOL 678,2019-07-16 02:51:08.720949+00,3
BIOL 680,2019-07-16 02:51:08.720949+00,3
BIOL 681,2019-07-16 02:51:08.720949+00,3
BIOL 690,2019-07-16 02:51:08.720949+00,3
CHEM 140L,2019-07-16 02:51:08.720949+00,3
